Year;Name
1750;Veniaminof
1645;Aniakchak
1610;Santorini
1550;Redoubt
1460;Taupo
1370;Pago
1050;Pinatubo
1010;Tungurahua
455;Cotopaxi
250;Raoul Island
197;Santorini
150;St. Andrew Strait
141;Etna
100;Okmok
50;Apoyeque
46;Santorini
50;Ambrym
60;Bona-Churchill
